,shooterPlayerId,shooterName,xG
594,8479992.0,Michael Rasmussen,14.479877625530401
589,8479591.0,Michael Eyssimont,14.31898181109239
701,8480798.0,Philipp Kurashev,14.280443562068662
778,8476872.0,Scott Laughton,14.27775206891764
598,8475798.0,Mikael Granlund,14.272478007082285
176,8482062.0,Cole Smith,14.261763421411995
830,8478438.0,Tommy Novak,14.251292566206955
207,8478046.0,Danton Heinen,14.248655752771617
320,8480835.0,Jack Drury,14.21956276056665
266,8480803.0,Evan Bouchard,14.083332678606947
45,8480281.0,Alexey Toropchenko,14.06073678318945
326,8478458.0,Jack Roslovic,14.045355547539247
372,8477450.0,Jason Dickinson,13.976124757146136
712,8480800.0,Quinn Hughes,13.939430780799468
214,8474102.0,David Perron,13.910933577168414
546,8478891.0,Mason Appleton,13.89989687387857
469,8475763.0,Kevin Hayes,13.735815211026623
850,8481789.0,Tye Kartye,13.68164749634005
853,8474870.0,Tyler Johnson,13.659371903307488
203,8478466.0,Daniel Sprong,13.656674783364336
277,8480821.0,Filip Zadina,13.628825503265647
48,8481656.0,Aliaksei Protas,13.48100577591518
63,8477511.0,Anthony Mantha,13.381515576499117
60,8478463.0,Anthony Beauvillier,13.295787680779776
689,8474141.0,Patrick Kane,13.148036181292762
440,8477504.0,Josh Morrissey,13.128229231210193
351,8479345.0,Jakob Chychrun,13.078568665853583
752,8480802.0,Ryan McLeod,13.072485656328794
56,8477429.0,Andrew Copp,13.061381346660486
579,8477503.0,Max Domi,13.052523573525647
573,8475218.0,Mattias Ekholm,12.982938631169455
449,8479941.0,Justin Danforth,12.947579004342884
731,8477952.0,Robby Fabbri,12.937768500041697
36,8477505.0,Alex Wennberg,12.911793944703058
586,8478020.0,Michael Amadio,12.90349383156658
406,8474590.0,John Carlson,12.878444738333886
728,8482092.0,Ridly Greig,12.817884712361323
545,8481028.0,Martin Pospisil,12.750094353702188
195,8470621.0,Corey Perry,12.714638090770908
379,8476419.0,Jean-Gabriel Pageau,12.692638144220089
678,8476292.0,Ondrej Palat,12.66105715752426
285,8477903.0,Garnet Hathaway,12.596605313208798
143,8475714.0,Calle Jarnkrok,12.570806502723507
667,8478396.0,Noah Hanifin,12.492671231787245
591,8477446.0,Michael McCarron,12.492092250049357
398,8476469.0,Joel Armia,12.319973409530222
108,8477986.0,Brandon Montour,12.290873095547605
910,8478460.0,Zach Werenski,12.101195600819715
870,8475167.0,Victor Hedman,12.08141933608006
501,8481186.0,Logan O'Connor,12.06725715333063
485,8473449.0,Kyle Okposo,12.01945027945442
609,8480036.0,Miro Heiskanen,11.926542736566867
692,8481032.0,Paul Cotter,11.875113046973317
184,8477015.0,Connor Brown,11.869693033081749
755,8480068.0,Ryan Poehling,11.849423772722641
28,8481618.0,Alex Newhook,11.848710957471685
428,8478413.0,Jordan Greenway,11.748497943777162
816,8476927.0,Teddy Blueger,11.663270424156414
839,8473453.0,Trevor Lewis,11.62265193479905
196,8475225.0,Craig Smith,11.577893498273399
388,8475855.0,Jesper Fast,11.510268480663749
105,8479520.0,Brandon Duhaime,11.50318698408885
532,8475149.0,Marcus Johansson,11.485918102898344
441,8480064.0,Josh Norris,11.479297886559163
767,8478043.0,Sam Lafferty,11.468124965784593
81,8479359.0,Beck Malenstyn,11.43663895238098
517,8479316.0,Luke Kunin,11.340659711200098
694,8481604.0,Pavel Dorofeyev,11.320993843171658
491,8484153.0,Leo Carlsson,11.30123446403821
157,8476905.0,Chandler Stephenson,11.278210461328511
263,8474578.0,Erik Karlsson,11.243954088429293
759,8476458.0,Ryan Strome,11.212974731392421
714,8476889.0,Radek Faksa,11.157231424923038
7,8479323.0,Adam Fox,11.153668670706935
39,8482125.0,Alexander Holtz,11.102317623322678
820,8481581.0,Thomas Harley,10.919037985228785
397,8480813.0,Joe Veleno,10.887556292359916
588,8479619.0,Michael Carcone,10.88001902169122
