,shooterPlayerId,shooterName,xG2
897,8478508.0,Yakov Trenin,16.15406
200,8478057.0,Dakota Joshua,16.105196
25,8477021.0,Alex Kerfoot,16.016771
541,8475913.0,Mark Stone,15.944363
880,8475765.0,Vladimir Tarasenko,15.754171
173,8482149.0,Cole Perfetti,15.703798
744,8477987.0,Ryan Donato,15.636227
553,8478472.0,Mathieu Joseph,15.601028
830,8478438.0,Tommy Novak,15.470979
616,8479987.0,Morgan Geekie,15.355238
589,8479591.0,Michael Eyssimont,15.331171
549,8482745.0,Mason McTavish,15.213665
701,8480798.0,Philipp Kurashev,15.202449
778,8476872.0,Scott Laughton,15.178231
207,8478046.0,Danton Heinen,15.123428
389,8480829.0,Jesperi Kotkaniemi,15.076383
594,8479992.0,Michael Rasmussen,14.974897
320,8480835.0,Jack Drury,14.815241
904,8484145.0,Zach Benson,14.811224
615,8480028.0,Morgan Frost,14.771505
888,8482157.0,Will Cuylle,14.730891
556,8475692.0,Mats Zuccarello,14.728043
214,8474102.0,David Perron,14.712809
794,8481596.0,Shane Pinto,14.612756
326,8478458.0,Jack Roslovic,14.580901
576,8482665.0,Matty Beniers,14.557196
176,8482062.0,Cole Smith,14.479752
705,8478115.0,Pierre Engvall,14.286109
339,8475768.0,Jaden Schwartz,14.205306
372,8477450.0,Jason Dickinson,14.198526
469,8475763.0,Kevin Hayes,14.176068
546,8478891.0,Mason Appleton,14.139858
815,8479390.0,Taylor Raddysh,14.072324
45,8480281.0,Alexey Toropchenko,13.930891
203,8478466.0,Daniel Sprong,13.882414
598,8475798.0,Mikael Granlund,13.871484
277,8480821.0,Filip Zadina,13.820542
720,8480839.0,Rasmus Dahlin,13.796486
579,8477503.0,Max Domi,13.757781
850,8481789.0,Tye Kartye,13.648614
689,8474141.0,Patrick Kane,13.577018
48,8481656.0,Aliaksei Protas,13.510222
752,8480802.0,Ryan McLeod,13.4997015
712,8480800.0,Quinn Hughes,13.495342
883,8476480.0,Vladislav Namestnikov,13.430555
586,8478020.0,Michael Amadio,13.330954
266,8480803.0,Evan Bouchard,13.289756
60,8478463.0,Anthony Beauvillier,13.261425
63,8477511.0,Anthony Mantha,13.198374
56,8477429.0,Andrew Copp,13.124362
692,8481032.0,Paul Cotter,13.1145525
731,8477952.0,Robby Fabbri,13.0878105
678,8476292.0,Ondrej Palat,13.022136
143,8475714.0,Calle Jarnkrok,12.991644
195,8470621.0,Corey Perry,12.971595
428,8478413.0,Jordan Greenway,12.896092
449,8479941.0,Justin Danforth,12.859494
517,8479316.0,Luke Kunin,12.738715
379,8476419.0,Jean-Gabriel Pageau,12.700983
910,8478460.0,Zach Werenski,12.688879
591,8477446.0,Michael McCarron,12.670973
853,8474870.0,Tyler Johnson,12.661712
573,8475218.0,Mattias Ekholm,12.657399
501,8481186.0,Logan O'Connor,12.589405
196,8475225.0,Craig Smith,12.5367985
285,8477903.0,Garnet Hathaway,12.456009
532,8475149.0,Marcus Johansson,12.419389
485,8473449.0,Kyle Okposo,12.294085
545,8481028.0,Martin Pospisil,12.287368
81,8479359.0,Beck Malenstyn,12.265209
816,8476927.0,Teddy Blueger,12.249155
728,8482092.0,Ridly Greig,12.244113
39,8482125.0,Alexander Holtz,12.098285
440,8477504.0,Josh Morrissey,12.055347
406,8474590.0,John Carlson,12.008842
351,8479345.0,Jakob Chychrun,11.984974
28,8481618.0,Alex Newhook,11.953515
124,8479353.0,Brett Howden,11.929874
398,8476469.0,Joel Armia,11.895891
36,8477505.0,Alex Wennberg,11.892179
441,8480064.0,Josh Norris,11.838261
771,8479351.0,Sam Steel,11.803439
767,8478043.0,Sam Lafferty,11.799256
870,8475167.0,Victor Hedman,11.779004
714,8476889.0,Radek Faksa,11.769074
157,8476905.0,Chandler Stephenson,11.725249
755,8480068.0,Ryan Poehling,11.501899
388,8475855.0,Jesper Fast,11.479454
6,8484166.0,Adam Fantilli,11.432542
491,8484153.0,Leo Carlsson,11.425825
184,8477015.0,Connor Brown,11.361662
270,8474149.0,Evgenii Dadonov,11.307144
839,8473453.0,Trevor Lewis,11.288111
105,8479520.0,Brandon Duhaime,11.223478
108,8477986.0,Brandon Montour,11.202164
694,8481604.0,Pavel Dorofeyev,11.196622
820,8481581.0,Thomas Harley,11.11322
900,8482475.0,Yegor Chinakhov,11.069591
475,8480748.0,Kiefer Sherwood,11.043627
588,8479619.0,Michael Carcone,11.027377
609,8480036.0,Miro Heiskanen,10.967142
829,8475193.0,Tomas Tatar,10.890676
667,8478396.0,Noah Hanifin,10.811652
263,8474578.0,Erik Karlsson,10.809903
632,8476393.0,Nick Cousins,10.783679
397,8480813.0,Joe Veleno,10.76275
459,8481554.0,Kaapo Kakko,10.750319
759,8476458.0,Ryan Strome,10.715569
159,8479325.0,Charlie McAvoy,10.698495
231,8477330.0,Dominik Kubalik,10.694174
7,8479323.0,Adam Fox,10.678706
580,8479368.0,Max Jones,10.659367
837,8477948.0,Travis Sanheim,10.568235
240,8482699.0,Dylan Guenther,10.550948
601,8476875.0,Mike Matheson,10.55074
44,8480074.0,Alexandre Texier,10.509551
208,8477498.0,Darnell Nurse,10.490877
154,8475231.0,Casey Cizikas,10.470785
110,8479293.0,Brandon Tanev,10.434399
91,8482259.0,Bobby McMann,10.425452
617,8476853.0,Morgan Rielly,10.342666
271,8475744.0,Evgeny Kuznetsov,10.214991
381,8470604.0,Jeff Carter,10.158521
191,8482074.0,Connor Zary,10.150878
574,8477406.0,Mattias Janmark,10.073458
464,8477953.0,Kasperi Kapanen,10.072143
614,8480289.0,Morgan Barron,10.06706
225,8478038.0,Devon Toews,10.026888
353,8475164.0,Jakob Silfverberg,9.970844
344,8478133.0,Jake Evans,9.968499
764,8475842.0,Sam Carrick,9.967136
101,8476869.0,Brady Skjei,9.927859
87,8471218.0,Blake Wheeler,9.924681
186,8480980.0,Connor Dewar,9.903233
685,8480448.0,Parker Kelly,9.888872
666,8479393.0,Noah Gregor,9.781464
582,8474157.0,Max Pacioretty,9.673703
169,8479996.0,Cody Glass,9.616659
520,8477346.0,MacKenzie Weegar,9.5866585
531,8475220.0,Marcus Foligno,9.549635
628,8481582.0,Nicholas Robertson,9.53242
73,8481560.0,Arthur Kaliyev,9.5223465
682,8476897.0,Oskar Sundqvist,9.47653
150,8479336.0,Carl Grundstrom,9.469574
123,8470613.0,Brent Burns,9.436426
747,8475793.0,Ryan Johansen,9.421512
177,8476278.0,Colin Blackwell,9.41682
784,8480434.0,Sean Durzi,9.39385
38,8482222.0,Alexander Barabanov,9.320335
462,8479977.0,Kailer Yamamoto,9.268938
324,8480855.0,Jack McBain,9.263638
439,8476312.0,Josh Manson,9.241446
592,8479415.0,Michael McLeod,9.233783
643,8481477.0,Nico Sturm,9.208392
889,8477478.0,William Carrier,9.153779
664,8480220.0,Noah Cates,9.12837
80,8480849.0,Barrett Hayton,9.085826
802,8481601.0,Simon Holmstrom,9.069001
502,8482702.0,Logan Stankoven,9.021544
50,8477444.0,Andre Burakovsky,8.9888115
785,8476374.0,Sean Kuraly,8.881799
